我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　作者：asd1234567899999　回复日期：2010-12-08　11:57:17　　　　　　　我猜LZ的房子不止一套　　　　这个到未必，我自己只有房一套，三口人，有时候还五口人住，可是我还是坚决反对房产税出台。因为我看不到房产税对于调节房价又什么作用，我只看到房产税的目的是为了地方政府有稳定的财政收入。原来不叫房产税，叫物业税，后来发现物业税于法无据，就说收房产税，而且说房产税是原来就有的，不过原来是空转。各地政府争前恐后的申报试点，自己想想，为啥这么积极啊？举报|89楼|打赏|回复|评论|赞
　　作者：KAKALALAOK　回复日期：2010-12-08　11:51:56　　　　　　　作者：兔兔的哨牙　回复日期：2010-12-08　11:44:04　　　　　　　　　　　房价飙升的主要原因还是炒房团。　　　　=============================================================================　　　　　　　　你是看CCTV长大的吧，全国房价都在涨，难道全国到处都是炒房团？要是炒房团这么多并且组织这么严密，能够同时共同炒高全国房价，那么轮子也是望尘莫及的了，那中央要打击肯定是对的了。　　　　---------------------------------------------　　其实全国人民都是看CCAV长大的。不知道你为何如此激愤。话说CCAV的纪录片还是不错的，其他的我不喜欢看。　　　　房价不管有没有人炒，每年都是会上涨的。　　　　但是房价涨得不正常，那绝对有炒房者的功劳。　　　　那些房价高的离谱的地方，炒房人比比皆是。杭州的房子，是托了温州炒房者的褔。　　　　就说三亚的房子，最少都有一半是被炒房者买下，屯在那里。　　　　炒房团没有组织，而是各路炒房者看到暴利，才会前往。人多，自然成团。　　　　至于土地，那是我们没办法的事情。我们还经常眼睁睁的看着政府把土地卖给国企，用纳税人的钱炒土地，再来赚纳税人更多的钱。后来不是有数十家央企国企退市嘛。　　　　现在可能最好的方式就是遏制炒房者，当囤房有风险且成本高时，炒的人自然会少，当炒房者少了，楼市遇冷，房价自然也会降。　　　　　　房产税，最好是二套房开征。举报|90楼|打赏|回复|评论|赞
　　作者：gzdd022　回复日期：2010-12-08　10:34:39　　　论贱我知道没人贱得过你，房产税最受伤的就是全体买不上房的金字塔底层，他们只能无可奈何地承受所有上层转嫁而来的成本，在没有解决保障住房的前提下开征房产税，是极其不负责任的、无耻的敛财行为！　　————————————————————————————————　　你是怎么得出“他们只能无可奈何的承受所有上层转嫁来的成本”这个结论的？新房是不含税的，无房者买新房不超面积也是免税的，跟“转嫁成本”有什么关系？炒房客囤积房产的税款成本是否能转出去他说了不算，亏本也不是不可以的，炒股票都可以亏本，谁规定的炒房就不能亏本？二手房本来就不应该是交易的主体，这全是因为以前没有抑制投机的政策造成的。举报|91楼|打赏|回复|评论|赞
"　　一看贴里都是些什么税肯定会转嫁给租房人的言论我就懒得再参与了,和这些没有常识的人说什么呢.举报|92楼|打赏|回复|评论|赞"
"　　""房产税的目的是为了地方政府有稳定的财政收入""　　　　只这一条还不能看出房产税对于调节房价的作用,楼主你还好意思来发贴吗?举报|93楼|打赏|回复|评论|赞"
　　中国主要缺少的　　是那么几位真正懂经济的人举报|94楼|打赏|回复|评论|赞
　　作者：放飞各人　回复日期：2010-12-08　11:39:04　　　人均30平米　　我tmd两口子没小孩房子68平也交税的话　　就郁闷了　　————————————————————————　　没看过本人的方案吗？夫妻即使没有小孩，也按三口人计算免税面积。自己无知就不要乱想。　　　　　　举报|95楼|打赏|回复|评论|赞
　　作者：马甲穿身上　回复日期：2010-12-08　12:15:17　　　这个到未必，我自己只有房一套，三口人，有时候还五口人住，可是我还是坚决反对房产税出台。　　——————————————————————　　你根本就用不着交税，房产税就是给住房超标的有钱人准备的一道菜？你作为底层人士，反倒替富人担心起来了？向富人多征税是税制改革的根本方向，你不是富人却为富人着想，真是“高尚”啊！财富意味着责任，你没法理解这句话吧！举报|96楼|打赏|回复|评论|赞
“中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。”　　　　这话基本是放屁！　　个人所得税就是个例子！　　　　现在变成了拿工资的人都得交税，整个一个人头税！　　举报|97楼|打赏|回复|评论|赞
　　中国人民头上的税负已经很多，很重了。　　　　是谁给的政府自行定税的权利？　　　　举报|98楼|打赏|回复|评论|赞
　　世行曾经发出过警告：盲目征收房产税的后果，是ZF要付出极其沉重的政治代价。措辞很严厉。　　就其原因很简单，中国的高房价不是能靠征收房产税就解决的，更何况，中国根本就没有征收房产税的现实基础。真正要解决的问题是更深层次的问题，比如？？我就不详细说了。然而ZF却利用这个来做文章，再一次搜刮老百姓，居然还有那么多人在叫好。杯具啊杯具。　　以上观点来自于郎咸平的我们的生活为什么那么难一书。有意见的不要骂我，去和郎咸平理论去。举报|99楼|打赏|回复|评论|赞
　　谁也不想被征收房产税，但是我们又有什么办法，只要别到呼吸氧气也要征税的地步就好，要不我真的真的真的只有去S了举报|101楼|打赏|回复|评论|赞
　　世行曾经发出过警告：盲目征收房产税的后果，是ZF要付出极其沉重的政治代价。措辞很严厉。　　就其原因很简单，中国的高房价不是能靠征收房产税就解决的，更何况，中国根本就没有征收房产税的现实基础。真正要解决的问题是更深层次的问题，比如？？我就不详细说了。然而ZF却利用这个来做文章，再一次搜刮老百姓，居然还有那么多人在叫好。杯具啊杯具。　　以上观点来自于郎咸平的我们的生活为什么那么难一书。有意见的不要骂我，去和郎咸平理论去。举报|102楼|打赏|回复|评论|赞
"　　税就是用来养一些必需要养的闲人。从民众的角度看,加税永远是个杯具。无可奈何,民主国家才喊出了:无代表不纳税。看看我等被代表的屁民正在呼喊给自己枷锁再重点吧!愚啊!来自天涯社区客户端|举报|103楼|打赏|回复|评论|赞"
　　作者：海岛论剑　回复日期：2010-12-08　12:24:43　　　　　　　作者：放飞各人　回复日期：2010-12-08　11:39:04　　　　　人均30平米　　　　我tmd两口子没小孩房子68平也交税的话　　　　就郁闷了　　　　————————————————————————　　　　没看过本人的方案吗？夫妻即使没有小孩，也按三口人计算免税面积。自己无知就不要乱想。　　　　=============================================================================　　　　你还设计房产税方案？看来你果然是国家网络政治局常委，不过麻烦你先把这个月的房租交一下，并且事先告诉你让你有个准备，明年开始房租要涨了。　　　　　　举报|104楼|打赏|回复|评论|赞
　　作者：股价　回复日期：2010-12-08　11:01:52　　　　　　　其实收拾这些炒房的投机分子很简单：　　　　1、禁止购买第二套房；　　　　2、已有第二套及以上的，收房产税，税率每年递增5%，每多一套房，税率递增50%；　　　　3、出租时需经租赁所登记，租金通过第三方监管，建立房屋年审制度，未登记私自出租的收取房价20%的罚款，并取消出租资格3年；　　　　4、出售房屋时，收所得税，税率每年递增10%，签阴阳合同的，以金融诈骗罪收监。　　　　　　　　可保5年以后，房价减半，10年以后80%的人买的起房。　　　　作者：teddybee　回复日期：2010-12-08　12:41:48　　　　　　　世行曾经发出过警告：盲目征收房产税的后果，是ZF要付出极其沉重的政治代价。措辞很严厉。　　　　就其原因很简单，中国的高房价不是能靠征收房产税就解决的，更何况，中国根本就没有征收房产税的现实基础。真正要解决的问题是更深层次的问题，比如？？我就不详细说了。然而ZF却利用这个来做文章，再一次搜刮老百姓，居然还有那么多人在叫好。杯具啊杯具。　　　　以上观点来自于郎咸平的我们的生活为什么那么难一书。有意见的不要骂我，去和郎咸平理论去。　　　　经鉴定，以上2人为本贴中的明白人。　　举报|105楼|打赏|回复|评论|赞
　　作者：农家游子发表日期：2010-12-812:35:00　　“中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。”　　这话基本是放屁！个人所得税就是个例子！现在变成了拿工资的人都得交税，整个一个人头税！　　——————————————————————————————　　你这话才是放屁，全国至少有一半的工薪阶层的月收入是达不到起征点交个人所得税的，怎么叫人头税了？不要只看你周围的人，去全国走一走，你就知道了！　　举报|106楼|打赏|回复|评论|赞
